Stalk,Test_11,Test_12,Test_13,Test_14,Test_15,Test_16,Test_17,Test_18,Test_19,Test_20,Mean,Median,Std_Dev
S01,5.868152495685955,4.909442823789988,6.099547664889432,6.266077828616535,4.971030236607929,5.542225906203122,4.694949804849316,6.205579082943511,5.600802320618075,5.620535579386072,5.577834374358993,5.610668950002074,0.5599875407923327
S02,18.086760938445433,18.31252965217679,15.041822474383723,17.002779964701254,14.525473976089422,15.428110122797996,15.676392769819168,16.01753167367698,15.907333633893716,15.911889757251073,16.191062496323557,15.909611695572394,1.2420257715940681
S03,19.72076197787374,16.154706196674756,14.93854249119476,18.61951285389082,17.803701633046554,18.305518157714275,16.79895212189818,18.463193310334947,16.77083272068591,17.62085235025641,17.51965738135703,17.712276991651482,1.3847864869209885
S04,14.648541546548145,14.527291163155475,11.485497101479561,13.985009374532403,7.799800920988129,14.212305121805327,11.906693360997183,12.506275828961764,27.825536790131267,10.998696000928168,13.989564720952743,13.245642601747083,5.294383634272285
S05,16.283790225219526,13.559468174676732,13.368317418288557,14.860536124177708,16.528108371028498,14.380146176475284,14.979881382868953,15.750297974432428,5.421865632252118,14.175456542933205,13.9307868022353,14.620341150326496,3.174133906789539
S06,17.868700192309195,18.016403086761468,17.08110623993083,19.57561052770585,19.532099707110078,18.2609719194177,18.714850130513582,19.191676082033737,18.007298339619954,18.449955378665365,18.46986716040677,18.355463649041532,0.79482514157855
S07,25.09540905366706,24.576183514522892,25.686985835946956,28.006628571429683,26.784852091613583,25.438385965039377,25.86610335758299,27.228687745531733,25.13883317323375,25.731353244277788,25.95534225528458,25.70916954011237,1.0657764781904884
S08,9.10696053333992,9.315263371555622,9.882151782991329,9.461877241140707,9.48979252116377,9.083486406234497,9.11527951624077,9.35318236464145,8.321998907014372,8.339894644068169,9.14698872883906,9.215271443898196,0.4906475817835289
S09,22.22919925091253,21.933136798994468,20.43075197267851,22.250185389140558,22.78987509068591,21.58244660559814,22.116902626319344,22.211058323056864,20.791553398827574,21.51379423020616,21.784890368642003,22.025019712656906,0.7205413184027519
S10,2.6998573696940915,3.229019405268325,3.7984942707211093,2.9449936493061806,3.3033090518928083,2.62391083429646,2.801113954720831,3.3878005281744623,2.235922052614234,2.3811260244223935,2.94055471411109,2.873053802013506,0.48739914317057637
S11,19.05971901302934,18.946893720320173,18.632520768228098,19.331766034090652,19.608487822425058,18.110379471741133,18.285914985303084,18.856088199382327,22.49272999996822,18.07798448308682,19.14024844975749,18.90149095985125,1.2822023433245329
S12,22.370169449047424,24.61668498209579,25.041516402685073,24.054163301425305,27.653679125774346,25.596004382446697,26.213952167656558,25.76778721046548,31.28174166673013,27.290368645588885,25.98860673339157,25.68189579645609,2.411829991273897
S13,7.681142184141733,6.486946353527205,5.141516472166155,6.515772388151966,7.333629311477782,6.754094866005371,18.892413400397093,6.523971428422076,11.083309646269887,5.735190437823138,8.21479864883824,6.639033147213723,4.079206036384609
S14,19.99355708566437,20.883447877013875,22.564266569145193,19.77781685298779,20.665967975036526,20.402608216280516,22.06899065196255,20.215348702326324,25.946336013827388,20.520481678518482,21.303882162276302,20.593224826777504,1.8549267846611752
S15,19.190761658342478,13.016783809344625,,20.881364623689517,21.42299427122984,16.59776199487435,10.8700906089531,21.49224828441187,24.917951109607344,21.199998148384665,18.843328278759753,20.881364623689517,4.513374550511306
S16,14.303142986211363,11.603631408639068,12.910268437282788,12.405632254854233,20.738771975322134,11.495427181457764,18.896215127239106,13.66060976703143,17.14051005035064,11.246481406193183,14.440069059458171,13.28543910215711,3.347372149651623
S17,17.53592281350838,15.725879669685733,17.325752969071356,17.90110232699602,13.48817916638167,17.797845064061907,20.471666893385578,18.025352483395746,22.946549552862265,16.74251506851046,17.796076600785913,17.66688393878514,2.5384231294612887
