Stalk,Test_41,Mean,Median,Std_Dev
S01,38.72773157300239,38.72773157300239,38.72773157300239,
S02,26.39481462173701,26.39481462173701,26.39481462173701,
S03,27.304865282072893,27.304865282072893,27.304865282072893,
S04,25.690354574865907,25.690354574865907,25.690354574865907,
S05,28.91834873542179,28.91834873542179,28.91834873542179,
S06,12.146246626241952,12.146246626241952,12.146246626241952,
S07,11.387793742713141,11.387793742713141,11.387793742713141,
S08,8.004722587792058,8.004722587792058,8.004722587792058,
S09,23.634549371340267,23.634549371340267,23.634549371340267,
S10,28.196332583075982,28.196332583075982,28.196332583075982,
S11,22.378237122492166,22.378237122492166,22.378237122492166,
S12,11.007596482118805,11.007596482118805,11.007596482118805,
S13,14.022858965994407,14.022858965994407,14.022858965994407,
S01,,38.93508299629303,38.93508299629303,38.93508299629303,
S02,,21.839735292296947,21.839735292296947,21.839735292296947,
S03,,26.763880489909198,26.763880489909198,26.763880489909198,
S04,,24.580852896181185,24.580852896181185,24.580852896181185,
S05,,26.701466057065883,26.701466057065883,26.701466057065883,
S06,,13.315539945742342,13.315539945742342,13.315539945742342,
S07,,11.988248832835318,11.988248832835318,11.988248832835318,
S08,,8.966226218221573,8.966226218221573,8.966226218221573,
S09,,23.874707329453653,23.874707329453653,23.874707329453653,
S10,,27.79621718722143,27.79621718722143,27.79621718722143,
S11,,25.22382231510799,25.22382231510799,25.22382231510799,
S12,,12.539967289452418,12.539967289452418,12.539967289452418,
S13,,14.068868178527696,14.068868178527696,14.068868178527696,
S01,38.82405491197572,39.2549130341962,39.039483973085964,39.039483973085964,0.30466269995140227
S02,26.26687884444946,23.286843797564924,24.776861321007193,24.776861321007193,2.1072029898256277
