Stalk,Test_21,Test_22,Test_23,Test_24,Test_25,Test_26,Test_27,Test_28,Test_29,Test_30,Mean,Median,Std_Dev
S01,6.474934399189993,6.515157492179018,4.6872319287594895,7.028748199949753,7.476592308450107,6.577292234357771,9.091265840594186,5.197049169648355,8.398502976885608,9.036370666363764,7.0483145216378045,6.803020217153762,1.4895789295553614
S02,16.03615104901743,13.155966947305842,10.948473729722926,15.9587147342407,12.630732040437671,15.138585965139358,14.984069818874842,10.576336634508406,18.026938460423164,12.452910682653465,13.990888006232378,14.070018383090343,2.414693546373546
S03,17.563024011570334,16.332646227300074,16.227510336863475,16.82970228571353,17.011270479524168,18.98133514462185,18.78679042073687,11.662296120413522,15.835097675250132,18.94093863998295,16.817061134197694,16.920486382618847,2.154767100683033
S04,15.482317908551025,15.173754537327987,10.87075162329395,16.38209036851624,12.780548077724383,15.253066166622906,11.823662837314297,12.325502119409222,19.65349343802001,11.685225633381343,14.143041271016136,13.977151307526185,2.7234516661199137
S05,21.225508538654278,20.785810675734556,17.499330056634758,20.188920383600735,15.807260763135695,18.74819494866495,18.86155982535762,13.441274049652222,18.749830470724874,17.108268882357738,18.241595859451742,18.74901270969491,2.377501080382829
S06,18.128407040745223,21.11431183673987,16.24974384506274,19.11978921093064,17.875609466678885,20.092922975144987,22.40237318256989,15.310315717475534,17.56323113539158,18.038444933991958,18.589514934473133,18.083425987368592,2.154086769806411
S07,43.24553383252917,44.045565897287624,34.40142241657481,27.261912418294994,28.25409553116187,28.95810345094654,11.084458773646745,20.164495556936075,13.005104501695278,5.853747858397045,25.627444023747017,27.75800397472843,13.076424150083925
S08,8.594054500171014,18.59085928017528,19.48711632984335,19.60847104983557,11.47115154950985,14.387468543940308,20.19405878980079,19.133481424914432,24.18473439273175,16.910449304982272,17.25618451659046,18.862170352544858,4.5862110329363
S09,22.8474178247756,25.58759701627535,22.293856210880747,14.503108360141916,22.452666935637257,25.15060228925807,40.99095617198925,29.077204928897732,33.093526096199774,23.67842549306209,25.96753613271178,24.41451389116008,7.143164229326769
S10,1.3450596943246012,2.5650472591266475,2.3784912543231402,2.793565083813487,0.09936091004520604,3.4429922921750564,5.33677327651338,2.345907915042475,2.6172968251989768,1.3553602696504166,2.4279854780213386,2.471769256724894,1.3918209626780222
S11,21.875693959278653,23.05965859489177,22.01019277685472,25.694227508868156,20.87263633269652,18.97287082585487,24.261076281913443,19.562344076519896,23.97263352124534,20.094962374481803,22.037629625260518,21.942943368066686,2.2055770929245115
S12,23.402010307078815,28.000860707588895,18.080380088692777,17.969641922520342,22.43401451711034,30.049967833388354,18.519083933831467,28.368968141438017,28.474945460515375,19.423889625821186,23.472376253798554,22.918012412094576,4.877800007630661
S13,8.477942102563336,10.409919466280224,5.980342156499641,,9.976233941348218,9.167447596629353,5.696090573773869,7.072099059026794,6.943079734364095,9.114347729553335,8.093055817782096,8.477942102563336,1.7260326046225625
S14,15.463927288447364,13.117725003677696,12.615176644310397,10.702453105945501,15.106576686916782,15.468666222756157,26.274796566466506,17.85226700648461,15.332638583399037,40.70154090307178,18.263576801147586,15.3982829359232,8.929181053618953
S15,30.747528671665588,25.810728842099138,25.285311811630432,29.368263173981035,31.602071758140763,23.31919654610509,23.646580560345228,29.025897948166374,8.701292931526268,17.985465454922018,24.549233769858194,25.548020326864787,6.913161267053832
S16,17.47762855942666,17.80612737501192,17.229201440055146,22.112050017524993,23.715876350475416,24.185879904276344,19.12525604040907,6.037789521316246,20.628014149260284,15.964665165758525,18.42824885235146,18.465691707710494,5.188937517888256
S17,14.742048902134364,14.648838438215828,15.26562011614624,13.613302278818699,27.999287524150276,14.182787356166491,15.067889025602312,10.835349842406792,9.846369447133853,16.01149842927221,15.221299136004706,14.695443670175095,4.902095631178746
