Time,Force,Position,Sensor
8.917384,0.09963759235162689,0.0,f
8.921740000000002,0.09373653647322211,0.0,f
8.926091999999999,0.08615506119227097,0.0,f
8.930448,0.0810550390761542,0.0,f
8.934807999999999,0.0801560654664034,0.0,f
8.939164,0.0775962604235988,0.0,f
8.943516,0.07417665771002838,0.0,f
8.947884,0.06991684529518477,0.0,f
8.952236000000001,0.0673766282218727,0.0,f
8.956588000000002,0.06981890544772207,0.0,f
8.960944,0.06899828371594144,0.0,f
8.96532,0.0714797368807759,0.0,f
8.969672000000001,0.07648181914942989,0.0,f
8.974024000000002,0.07982306998503007,0.0,f
8.978375999999999,0.07820141449096132,0.0,f
8.982728,0.07659934696638512,0.0,f
8.987084000000001,0.07591584102105225,0.0,f
8.991435999999998,0.07687357853928065,0.0,f
8.995783999999999,0.08199318862488987,0.0,f
9.000136,0.08463134554566462,0.0,f
9.004484,0.09080223849899043,0.0,f
9.008836,0.0926393616574771,0.0,f
9.0132,0.09365586308418312,0.0,f
9.017544,0.09381256684012342,0.0,f
9.021896,0.09064760772995607,0.0,f
9.026252,0.08748264861978884,0.0,f
9.030608,0.08515789921089467,0.0,f
9.034956,0.08130736116848851,0.0,f
9.039304,0.08976407611588605,0.0,f
9.04366,0.1050775114730109,0.0,f
9.048008,0.12806828897164366,0.0,f
9.052368,0.16008383253295752,0.00925653384140726,f
9.05672,0.2080612874315557,0.017099778648152833,f
9.061076000000002,0.2621923688250558,0.025032142893534698,f
9.065428,0.3278884333545491,0.033135481543875425,f
9.06978,0.41265260442301643,0.04070703920204528,f
9.074128,0.5042930838707038,0.04836265127278779,f
9.078484,0.6017737823014124,0.05627379208707464,f
9.082836,0.7042349020443763,0.06438141696119869,f
9.087192,0.8185548244657214,0.07233070547216186,f
9.091544,0.9338695873573739,0.08053799691827279,f
9.0959,1.0665132734769769,0.08860548014721395,f
9.100252,1.210136376634703,0.09658342314039277,f
9.104612,1.360655376141142,0.10458974828062544,f
9.108964,1.5185774862161927,0.112745832474322,f
9.113324,1.6873614855124113,0.12084389765932838,f
9.117680000000002,1.8630609691268352,0.12894204460314893,f
9.122027999999998,2.047671836960797,0.136814121778871,f
9.126384,2.2151496612617336,0.1447174043365651,f
9.130772,2.3724686902563277,0.15267048457972301,f
9.13512,2.5310588642810306,0.16046682752073443,f
9.13946,2.6799603542672124,0.158899893778305,f
9.14382,2.803814329958045,0.15900586712732862,f
9.148176,2.9229992188615967,0.1590748947470516,f
9.152524,3.0340191393732336,0.1588900151171555,f
9.156864,3.1236657919064945,0.15928536401236912,f
9.161228,3.2104217169024833,0.15953457301269264,f
9.16558,3.293916815927748,0.1593737165638649,f
9.169932,3.371806751603902,0.1588664376516994,f
9.174272,3.4386585063334554,0.15854982475344662,f
9.178636,3.5044762446537163,0.15790685133086957,f
9.182992,3.554020737111718,0.15736890403690212,f
9.18734,3.5910033329765128,0.15697023254408055,f
9.19168,3.6218518903158983,0.15655797030179297,f
9.196044,3.6454540408426115,0.15591090757118045,f
9.2004,3.655869552739263,0.15532390574900842,f
9.204752,3.661792269574066,0.15468760557435376,f
9.209092,3.66298713571311,0.1541179560154395,f
9.213451999999998,3.662599522297071,0.15355396782794833,f
9.217808,3.663813976405608,0.15295923445011694,f
9.22216,3.658659336354826,0.15246410554181714,f
9.226515999999998,3.6477211682425943,0.15214285567933233,f
9.230872,3.6475098465519884,0.15148458295197192,f
9.235232000000002,3.6483542022270736,0.15069191174269003,f
9.239584,3.648475876017841,0.14987739385490245,f
9.243944,3.6500625015467363,0.1490884003573372,f
9.2483,3.64852334390445,0.14832289234443743,f
9.25266,3.6412985980481767,0.14768960842071238,f
9.257008,3.628934654136801,0.14729499459115805,f
9.261368,3.6199707249695035,0.14675213812488638,f
9.265724,3.6111634995581463,0.14613610482866474,f
9.270079999999998,3.604681023555683,0.14551628707884556,f
9.274428,3.6015397983888198,0.14477832126671553,f
9.278792,3.598633628855868,0.14392928404138283,f
9.283148,3.5964697291767256,0.14309842481500823,f
9.2875,3.5958687210831743,0.14225630689525431,f
9.291852,3.590481098385388,0.14147378146882525,f
9.296208000000002,3.5791532438702114,0.1409303531540771,f
9.300572,3.575874902916901,0.1402511265174239,f
9.304924000000002,3.5735151235428337,0.1395047507406725,f
9.309276,3.5718780260530845,0.13878692561693062,f
9.313636,3.5750275431675713,0.13800196428940745,f
9.317996,3.574054363653662,0.1373326047470184,f
9.322344,3.5705213790969488,0.1367744971470297,f
9.3267,3.5659327171745443,0.13635047228834085,f
9.331055999999998,3.565545103758505,0.1357749168690581,f
9.335416,3.5659193481657687,0.1352093028523703,f
9.339764,3.570239997475996,0.13461895264671186,f
9.344116,3.578761695292589,0.13387427609728575,f
9.34848,3.583863790395611,0.13328270358923888,f
9.352828,3.585605046693541,0.13281316451140135,f
9.357183999999998,3.585646295619432,0.1324097892357788,f
9.36154,3.58476898296608,0.1320748264570836,f
9.365904,3.582132899032212,0.13183567915484548,f
9.370256,3.57865660539707,0.13162488011029388,f
9.374604,3.576000933493708,0.13139443373084847,f
9.378968,3.578210228072553,0.1310799867290574,f
9.383324,3.5854411928895447,0.13060350380468908,f
9.38768,3.5885690490476327,0.13022453306395015,f
9.392036,3.591736081144707,0.1298294844632949,f
9.396400000000002,3.593359809625681,0.1294237191427584,f
9.400752,3.5942412682528455,0.12899720906827808,f
9.405108,3.5943608690567057,0.12855520029894402,f
9.409464000000002,3.597118626781342,0.12797432195452713,f
9.413832,3.6007753581157282,0.12733578760518183,f
9.41818,3.601970224254773,0.12675335527679488,f
9.422532,3.5974207382713543,0.1262909492237479,f
9.426888,3.5912495967938654,0.12585607429335746,f
9.431247999999998,3.585899077048157,0.1254044567911914,f
9.4356,3.5798650513571166,0.12490052816378322,f
9.439956,3.573752673788106,0.12443288959544475,f
9.444312000000002,3.570180513292407,0.12387221784304253,f
9.448664,3.5650062852721325,0.12332516872891987,f
9.453016,3.5648145515510183,0.12264919417702752,f
9.457372,3.565423851592193,0.12196754972950731,f
9.461732,3.5676352191579443,0.12127479106104685,f
