Stalk,Test_02,Test_03,Test_04,Test_05,Test_06,Test_07,Test_08,Test_09,Test_10,Mean,Median,Std_Dev
S01,26.71497737993627,77.08225791139235,61.13859355707433,66.74548112131156,63.5930914935012,65.56700562127277,60.74549374302362,,57.93162652350845,59.93981591887757,62.36584252528776,14.615065553119164
S02,25.16091267562892,23.64910396737301,20.28485542693438,19.862416666778184,22.554420653848112,21.091342934624855,10.84117908480565,,12.510312019331662,19.4943179286656,20.688099180779616,5.150601313327785
S03,7.969419489576505,7.00165339396419,9.712720956997762,13.562857014380503,8.66114614909005,13.125762542681484,9.211720981952526,,17.923421266055627,10.896087724337331,9.462220969475144,3.6728918682703617
S04,20.229056444219285,21.685513540722322,17.905752870058482,22.019750476876112,20.564908985798997,22.894410818138528,22.14540643039176,,23.18619678667739,21.32887454411036,21.85263200879922,1.7189191043137526
S05,25.198432936973692,26.34079580673368,22.942990873390837,25.349075211824886,23.85808946092003,24.918957464286922,24.944166313167827,,24.49412586828333,24.75582924194765,24.931561888727373,1.0200033482559763
S06,12.978689184906498,12.964014605380918,11.797360410893496,12.82533553300433,14.157900810226877,13.785999981310328,13.274717158800742,,11.831957019777363,12.95199683803757,12.971351895143709,0.833108508302891
S07,11.410609850592563,11.395260890442342,12.079700842465996,12.26907341952159,11.58203679523673,11.517346766668778,11.849730902010512,,11.256316111989861,11.670009447366047,11.549691780952754,0.3593618671411395
S08,10.235176657549902,10.05564900817111,9.733620450434017,11.146253938912684,9.658251400425,13.17806151257673,10.419677395736537,,10.875571413676033,10.662782722185252,10.32742702664322,1.1394632216605998
S09,14.835108714347198,15.591472895970037,14.56128267908739,14.208550935290633,13.926589081528398,14.912220157474819,15.331487835981969,,15.434487782447185,14.850150010265953,14.873664435911008,0.5945987598145265
S01,,,,,,,,58.03873884446454,,58.03873884446454,58.03873884446454,
S02,,,,,,,,10.767317550277186,,10.767317550277186,10.767317550277186,
S03,,,,,,,,17.81879261184611,,17.81879261184611,17.81879261184611,
S04,,,,,,,,21.163417543427826,,21.163417543427826,21.163417543427826,
S05,,,,,,,,23.02628598224447,,23.02628598224447,23.02628598224447,
S06,,,,,,,,12.410959428478888,,12.410959428478888,12.410959428478888,
S07,,,,,,,,10.01692865539031,,10.01692865539031,10.01692865539031,
S08,,,,,,,,12.53936694418261,,12.53936694418261,12.53936694418261,
S09,,,,,,,,14.866553058706662,,14.866553058706662,14.866553058706662,
