=====
Mass (g),Position (cm),Avg Strain A1,Avg Strain A2,Avg Strain B1,Avg Strain B2
0.0,6.0,0.3515016710436022,0.24289723989125844,-0.029582461795291386,0.11551521919869087
0.0,10.0,0.35146691921840045,0.2428789586828859,-0.029488036563199104,0.11563909133808725
0.0,15.0,0.35152985328851744,0.24284753134084303,-0.02948707757994186,0.11558923055959303
500.0,6.0,0.3515492074069873,0.24282908915607984,-0.041323348528244104,0.11291946992683757
500.0,10.0,0.3515422513699645,0.24288135305588468,-0.050734388884774884,0.1037366243335308
500.0,15.0,0.35160181712519173,0.24293115533934048,-0.062403766655483126,0.09240179705473543
1500.0,6.0,0.3516451347289712,0.24293219435950067,-0.06485926242040885,0.10776141373785188
1500.0,10.0,0.35172506572717305,0.24304549659838517,-0.09294768459679027,0.08034738056967704
1500.0,15.0,0.35175165048422524,0.2431773225339457,-0.12813677803015175,0.04593724259934105
